team,SoS
ARI,0.2
ATL,-0.9
BAL,1.1
BUF,0.4
CAR,-0.6
CHI,1.6
CIN,0.9
CLE,1.1
DAL,-0.8
DEN,-0.7
DET,0.7
GB,0.4
HOU,-0.8
IND,-0.5
JAX,-1.4
KC,-1.2
LAC,-1.3
LAR,0.5
MIA,2.0
MIN,0.1
NE,1.0
NO,-0.3
NYG,0.0
NYJ,2.0
OAK,-1.1
PHI,-1.3
PIT,1.5
SEA,-0.8
SF,-2.3
TB,0.4
TEN,0.0
WAS,0.4
